institute_std,subscription_start_month,class_bundle_signature,class_count,learner_count,core_subject_count,bundle_confidence
AHAFO ANO PREMIER RURAL BANK LTD,2025-04,520|521|528|530|531|534,6,1,4,LOW
AHAFO ANO PREMIER RURAL BANK LTD,2025-11,520,1,1,1,LOW
AHAFO ANO PREMIER RURAL BANK LTD,2026-06,580,1,8,1,LOW
AHAFO ANO PREMIER RURAL BANK LTD,,347,1,1,1,LOW
AHAFO ANO PREMIER RURAL BANK LTD,,531,1,1,1,LOW
AHAFO COMMUNITY BANK LTD.,2023-08,520,1,1,1,LOW
AHAFO COMMUNITY BANK LTD.,2024-04,521|522|523|524|525|526|527|528|529|530|531|532|533|534,14,1,4,LOW
AHAFO COMMUNITY BANK LTD.,2025-08,520,1,1,1,LOW
AHAFO COMMUNITY BANK LTD.,2025-11,520,1,28,1,LOW
AHAFO COMMUNITY BANK LTD.,2025-12,520,1,1,1,LOW
AHAFO COMMUNITY BANK LTD.,2026-06,580,1,16,1,LOW
AHAFO COMMUNITY BANK LTD.,,356|520|522,3,1,3,LOW
AHAFO COMMUNITY BANK LTD.,,356|522|524,3,1,3,LOW
AHAFO COMMUNITY BANK LTD.,,356|522|524|531|533,5,1,4,LOW
AHANTAM Rural Bank,2025-11,520,1,1,1,LOW
AHANTAMAN RURAL BANK,2025-11,520,1,3,1,LOW
AHANTAMAN RURAL BANK,2026-04,520,1,1,1,LOW
AHANTAMAN RURAL BANK,2026-06,580,1,2,1,LOW
AHANTAMAN RURAL BANK,,356,1,1,1,LOW
AHANTAMAN RURAL BANK LTD.,2024-01,520|521|522|523|524|525|526|527|528|529|530|531|532|533|534,15,54,4,MEDIUM
AHANTAMAN RURAL BANK LTD.,2025-08,356|520|521|522|523|524|525|526|527|528|529|530|531|532|533|534|583,17,1,4,LOW
AHANTAMAN RURAL BANK LTD.,2025-11,520,1,119,1,LOW
AHANTAMAN RURAL BANK LTD.,2026-03,520,1,1,1,LOW
AHANTAMAN RURAL BANK LTD.,2026-04,520,1,32,1,LOW
AHANTAMAN RURAL BANK LTD.,2026-06,580,1,115,1,LOW
AHANTAMAN RURAL BANK LTD.,,258,1,1,1,LOW
AHANTAMAN RURAL BANK LTD.,,320|520,2,1,2,LOW
AHANTAMAN RURAL BANK LTD.,,348|356|5,3,1,3,LOW
AHANTAMAN RURAL BANK LTD.,,356,1,72,1,LOW
AHANTAMAN RURAL BANK LTD.,,356|395,2,1,2,LOW
AHANTAMAN RURAL BANK LTD.,,356|520,2,5,2,LOW
AHANTAMAN RURAL BANK LTD.,,356|522,2,2,2,LOW
AHANTAMAN RURAL BANK LTD.,,356|522|525,3,1,3,LOW
AHANTAMAN RURAL BANK LTD.,,356|524|525,3,1,3,LOW
AHANTAMAN RURAL BANK LTD.,,356|526,2,1,2,LOW
AHANTAMAN RURAL BANK LTD.,,520,1,17,1,LOW
AHANTAMAN RURAL BANK LTD.,,520|525,2,1,2,LOW
AHANTAMAN RURAL BANK LTD.,,520|526,2,1,2,LOW
AHANTAMAN RURAL BANK LTD.,,522,1,3,1,LOW
AHANTAMAN RURAL BANK LTD.,,524,1,1,1,LOW
AHANTAMAN RURAL BANK LTD.,,525,1,1,1,LOW
AHANTAMAN RURAL BANK LTD.,,530,1,1,1,LOW
AHANTAMAN RURAL BANK LTD.,,533,1,1,1,LOW
AHANTAMAN RURAL BANK LTD.,,580,1,2,1,LOW
AHANTAMAN RURAL BANK PLC,2025-11,520,1,4,1,LOW
AHANTAMAN RURAL BANK PLC,2026-04,520,1,3,1,LOW
AHANTAMAN RURAL BANK PLC,2026-06,580,1,5,1,LOW
AHANTAMAN RURAL BANK PLC,,356|522,2,1,2,LOW
AI,,255,1,1,1,LOW
AIS,,258,1,1,1,LOW
AIS,,259,1,1,1,LOW
AIT,2020-04,352,1,1,1,LOW
AIT,,175,1,1,1,LOW
AIT,,25,1,1,1,LOW
AIT,,259,1,1,1,LOW
AIT,,265|267,2,1,2,LOW
AITI KOFI ANNAN,,257,1,1,1,LOW
AKATAKYIMAN RURAL BANK LTD.,2025-11,520,1,15,1,LOW
AKATAKYIMAN RURAL BANK LTD.,2026-04,520,1,8,1,LOW
AKATAKYIMAN RURAL BANK LTD.,2026-06,580,1,13,1,LOW
AKATAKYIMAN RURAL BANK LTD.,,237,1,1,1,LOW
AKATAKYIMAN RURAL BANK LTD.,,346,1,1,1,LOW
AKATAKYIMAN RURAL BANK LTD.,,580,1,1,1,LOW
AKATAKYIMAN RURAL BANK PLC,2025-11,520,1,1,1,LOW
AKATAKYIMAN RURAL BANK PLC,2026-06,580,1,1,1,LOW
AKIM BOSOME,2026-03,520,1,1,1,LOW
AKIM BOSOME RURAL BANK,2026-03,520,1,2,1,LOW
AKIM BOSOME RURAL BANK,2026-03,520|521|527,3,1,3,LOW
AKIM BOSOME RURAL BANK,2026-03,520|527,2,5,2,LOW
AKIM BOSOME RURAL BANK,2026-04,520,1,2,1,LOW
AKIM BOSOME RURAL BANK,2026-04,520|522,2,2,2,LOW
AKIM BOSOME RURAL BANK,2026-04,520|522|525|531,4,1,4,LOW
AKIM BOSOME RURAL BANK,2026-04,520|522|526|531|533,5,1,4,LOW
AKIM BOSOME RURAL BANK,2026-06,580,1,8,1,LOW
AKIM BOSOME RURAL BANK,,391,1,1,1,LOW
AKIM BOSOME RURAL BANK,,520|582,2,1,2,LOW
AKIM BOSOME RURAL BANK LIMITED,2023-08,520,1,3,1,LOW
AKIM BOSOME RURAL BANK LIMITED,2024-01,520|521|522|523|524|525|526|527|528|529|530|531|532|533|534,15,80,4,MEDIUM
AKIM BOSOME RURAL BANK LIMITED,2025-03,403,1,1,1,LOW
AKIM BOSOME RURAL BANK LIMITED,2025-08,356,1,60,1,LOW
AKIM BOSOME RURAL BANK LIMITED,2025-08,525,1,1,1,LOW
AKIM BOSOME RURAL BANK LIMITED,2025-09,522|524|525|528|530|531|583,7,6,4,LOW
AKIM BOSOME RURAL BANK LIMITED,2025-09,530,1,1,1,LOW
AKIM BOSOME RURAL BANK LIMITED,2025-09,531,1,1,1,LOW
AKIM BOSOME RURAL BANK LIMITED,2025-10,372,1,1,1,LOW
AKIM BOSOME RURAL BANK LIMITED,2026-03,520,1,2,1,LOW
AKIM BOSOME RURAL BANK LIMITED,2026-03,520|527,2,4,2,LOW
AKIM BOSOME RURAL BANK LIMITED,2026-03,521|523|524|527|528|530|531|532|534|583,10,1,4,LOW
AKIM BOSOME RURAL BANK LIMITED,2026-04,520,1,1,1,LOW
AKIM BOSOME RURAL BANK LIMITED,2026-04,520|531,2,1,2,LOW
AKIM BOSOME RURAL BANK LIMITED,2026-06,580,1,43,1,LOW
AKIM BOSOME RURAL BANK LIMITED,,224|253|316|347|348|522|526|533|550|599,10,1,4,LOW
AKIM BOSOME RURAL BANK LIMITED,,251,1,1,1,LOW
AKIM BOSOME RURAL BANK LIMITED,,268|373,2,1,2,LOW
AKIMBO,2026-04,520|527,2,1,2,LOW
AKIMBO,2026-06,580,1,1,1,LOW
AKUAPEM RURAL BANK LTD.,2024-01,520|521|522|523|524|525|526|527|528|529|530|531|532|533|534,15,130,4,HIGH
AKUAPEM RURAL BANK LTD.,2024-04,521|522|523|524|525|526|527|528|529|530|531|532|533|534,14,1,4,LOW
AKUAPEM RURAL BANK LTD.,2025-04,520|521|528|530|531|534,6,117,4,HIGH
AKUAPEM RURAL BANK LTD.,2025-11,520,1,2,1,LOW
AKUAPEM RURAL BANK LTD.,2026-03,520,1,66,1,LOW
AKUAPEM RURAL BANK LTD.,2026-03,520|531,2,55,2,LOW
AKUAPEM RURAL BANK LTD.,2026-03,531,1,1,1,LOW
AKUAPEM RURAL BANK LTD.,2026-04,520,1,26,1,LOW
AKUAPEM RURAL BANK LTD.,2026-04,520|529,2,2,2,LOW
AKUAPEM RURAL BANK LTD.,2026-06,580,1,118,1,LOW
AKUAPEM RURAL BANK LTD.,,344|580,2,1,2,LOW
AKUAPEM RURAL BANK LTD.,,520|522|531|533,4,1,4,LOW
AKUAPEM RURAL BANK LTD.,,594,1,1,1,LOW
AMANANO RURAL BANK LTD.,2025-08,520,1,2,1,LOW
AMANANO RURAL BANK LTD.,2025-10,356|520|522|523|524|526|528|530|531|534,10,1,4,LOW
AMANANO RURAL BANK LTD.,2025-11,520,1,1,1,LOW
AMANANO RURAL BANK LTD.,2026-06,580,1,2,1,LOW
AMANANO RURAL BANK LTD.,,356|523|525,3,1,3,LOW
AMANANO RURAL BANK LTD.,,522|530,2,1,2,LOW
AMANSIE WEST RURAL BANK LTD.,2023-08,520,1,2,1,LOW
AMANSIE WEST RURAL BANK LTD.,2024-01,520|521|522|523|524|525|526|527|528|529|530|531|532|533|534,15,93,4,MEDIUM
AMANSIE WEST RURAL BANK LTD.,2024-04,521|522|523|524|525|526|527|528|529|530|531|532|533|534,14,1,4,LOW
AMANSIE WEST RURAL BANK LTD.,2025-04,520|530,2,108,2,LOW
AMANSIE WEST RURAL BANK LTD.,2025-05,520|528|530,3,1,3,LOW
AMANSIE WEST RURAL BANK LTD.,2025-08,520,1,2,1,LOW
AMANSIE WEST RURAL BANK LTD.,2025-09,520,1,37,1,LOW
AMANSIE WEST RURAL BANK LTD.,2025-09,520|521,2,1,2,LOW
AMANSIE WEST RURAL BANK LTD.,2025-09,520|522,2,1,2,LOW
AMANSIE WEST RURAL BANK LTD.,2025-09,520|524,2,2,2,LOW
AMANSIE WEST RURAL BANK LTD.,2025-09,520|524|531,3,1,3,LOW
AMANSIE WEST RURAL BANK LTD.,2025-09,520|524|533,3,2,3,LOW
AMANSIE WEST RURAL BANK LTD.,2025-09,520|527,2,1,2,LOW
AMANSIE WEST RURAL BANK LTD.,2025-09,520|531,2,1,2,LOW
AMANSIE WEST RURAL BANK LTD.,2025-09,520|531|532,3,1,3,LOW
AMANSIE WEST RURAL BANK LTD.,2025-11,520,1,19,1,LOW
AMANSIE WEST RURAL BANK LTD.,2025-12,601,1,1,1,LOW
AMANSIE WEST RURAL BANK LTD.,2026-04,520,1,10,1,LOW
AMANSIE WEST RURAL BANK LTD.,2026-06,580,1,125,1,LOW
AMANSIE WEST RURAL BANK LTD.,,224,1,2,1,LOW
AMANSIE WEST RURAL BANK LTD.,,22|531,2,1,2,LOW
AMANSIE WEST RURAL BANK LTD.,,251,1,1,1,LOW
AMANSIE WEST RURAL BANK LTD.,,347,1,1,1,LOW
AMANSIE WEST RURAL BANK LTD.,,348|531,2,1,2,LOW
AMANSIE WEST RURAL BANK LTD.,,356,1,3,1,LOW
AMANSIE WEST RURAL BANK LTD.,,356|520|531,3,1,3,LOW
AMANSIE WEST RURAL BANK LTD.,,356|525,2,1,2,LOW
AMANSIE WEST RURAL BANK LTD.,,356|528,2,1,2,LOW
