institute_std,class_id,content_id,class_name,content_title,content_order,learner_count,attempt_count,question_count,avg_score_pct,avg_accuracy_expected_pct,avg_completion_pct,content_mapping_confidence,tas_proxy_score_pct,evidence_score,evidence_level
KAJAJI SENIOR HIGH SCHOOL,597,6459.0,English Language for GES -  SHS,UNIT 4: COHESIVE DEVICES IN PARAGRAPH DEVELOPMENT,1.0,1,1,6,60.0,60.0,100.0,HIGH,68.0,9.47,VERY_LOW
KAJAJI SENIOR HIGH SCHOOL,597,6460.0,English Language for GES -  SHS,UNIT 5: GENRES OF LITERATURE,1.0,1,1,3,60.0,60.0,100.0,HIGH,68.0,9.47,VERY_LOW
KAJAJI SENIOR HIGH SCHOOL,597,6461.0,English Language for GES -  SHS,UNIT 6: RECOGNISE THE MAIN IDEAS IN LEVEL-APPROPRIATE ORAL TEXTS.,1.0,1,1,3,60.0,60.0,100.0,HIGH,68.0,9.47,VERY_LOW
KAJAJI SENIOR HIGH SCHOOL,597,6463.0,English Language for GES -  SHS,UNIT 8: CHARACTER/CHARACTERISATION,1.0,1,1,1,60.0,60.0,100.0,HIGH,68.0,9.47,VERY_LOW
KAJAJI SENIOR HIGH SCHOOL,597,6469.0,English Language for GES -  SHS,UNIT 14: CONSONANT SOUNDS,1.0,1,1,3,60.0,60.0,100.0,HIGH,68.0,9.47,VERY_LOW
KAJAJI SENIOR HIGH SCHOOL,598,6475.0,Integrated  Science for GES - SHS,"Know, understand and identify the origin and composition of natural gas.",1.0,1,1,8,30.0,30.0,100.0,HIGH,44.0,9.47,VERY_LOW
KNUSt,262,2327.0,Integrated Science for WASSCE,Radioactivity,1.0,1,1,32,1.92,1.92,100.0,HIGH,21.54,9.47,VERY_LOW
KNUSt,262,2376.0,Integrated Science for WASSCE,"Forces, Motion And Pressure",1.0,1,1,10,1.92,1.92,100.0,HIGH,21.54,9.47,VERY_LOW
KNUSt,262,2386.0,Integrated Science for WASSCE,Pressure,1.0,1,1,5,1.92,1.92,100.0,HIGH,21.54,9.47,VERY_LOW
KNUSt,262,4720.0,Integrated Science for WASSCE,Preparation of Gases,1.0,1,1,4,1.92,1.92,100.0,HIGH,21.54,9.47,VERY_LOW
KNUSt,262,4723.0,Integrated Science for WASSCE,Rates of Reaction,1.0,1,1,1,1.92,1.92,100.0,HIGH,21.54,9.47,VERY_LOW
Kay-Billie-Klaer International School,253,776.0,Mathematics for BECE,MULTIPLICATION OF TWO BINOMIALS,26.0,2,2,2,42.5,42.5,100.0,HIGH,54.0,12.27,VERY_LOW
Kotoka JHS,262,2327.0,Integrated Science for WASSCE,Radioactivity,1.0,1,1,32,100.0,100.0,100.0,HIGH,100.0,9.47,VERY_LOW
Kotoka JHS,262,2376.0,Integrated Science for WASSCE,"Forces, Motion And Pressure",1.0,1,1,10,100.0,100.0,100.0,HIGH,100.0,9.47,VERY_LOW
Kotoka JHS,262,2386.0,Integrated Science for WASSCE,Pressure,1.0,1,1,5,100.0,100.0,100.0,HIGH,100.0,9.47,VERY_LOW
Kotoka JHS,262,4720.0,Integrated Science for WASSCE,Preparation of Gases,1.0,1,1,4,100.0,100.0,100.0,HIGH,100.0,9.47,VERY_LOW
Kotoka JHS,262,4723.0,Integrated Science for WASSCE,Rates of Reaction,1.0,1,1,1,100.0,100.0,100.0,HIGH,100.0,9.47,VERY_LOW
LETSHEGO,70,416.0,Audit & Compliance,What is Money Laundering?,1.0,1,1,3,88.0,88.0,100.0,HIGH,90.4,9.47,VERY_LOW
LETSHEGO,70,418.0,Audit & Compliance,Letshego Ghana's Risk Based Approach,1.0,1,1,1,88.0,88.0,100.0,HIGH,90.4,9.47,VERY_LOW
LETSHEGO,70,422.0,Audit & Compliance,SUSPICIOUS TRANSACTION REPORTING,10.0,1,1,1,88.0,88.0,100.0,HIGH,90.4,9.47,VERY_LOW
Letshego,70,416.0,Audit & Compliance,What is Money Laundering?,1.0,6,6,3,84.57142857142857,84.57142857142857,100.0,HIGH,87.66,23.47,LOW
Letshego,70,418.0,Audit & Compliance,Letshego Ghana's Risk Based Approach,1.0,1,1,1,80.0,80.0,100.0,HIGH,84.0,9.47,VERY_LOW
Letshego,70,422.0,Audit & Compliance,SUSPICIOUS TRANSACTION REPORTING,10.0,4,4,1,88.0,88.0,100.0,HIGH,90.4,17.87,VERY_LOW
Letshego GH,70,416.0,Audit & Compliance,What is Money Laundering?,1.0,1,1,3,84.0,84.0,100.0,HIGH,87.2,9.47,VERY_LOW
Letshego GH,70,422.0,Audit & Compliance,SUSPICIOUS TRANSACTION REPORTING,10.0,1,1,1,84.0,84.0,100.0,HIGH,87.2,9.47,VERY_LOW
Letshego Ghana,70,416.0,Audit & Compliance,What is Money Laundering?,1.0,3,3,3,85.6,85.6,100.0,HIGH,88.48,15.07,VERY_LOW
