institute_std,learner_count,active_learner_count,class_count,attempt_count,avg_cas_proxy_score_pct,ready_subject_count,at_risk_subject_count,missing_institute_excluded_count,evidence_level,dq_warning_count
Akim Bosome Rural Bank,4,4,1,4,94.67,1,0,0,VERY_LOW,2
Akim Bosome Rural Bank Ltd,2,2,1,2,94.66,1,0,0,VERY_LOW,2
Akim Bosome rural bank plc,1,1,1,1,100.0,1,0,0,VERY_LOW,0
Akimbo bosome community bank,1,1,1,1,94.66,1,0,0,VERY_LOW,1
Akosombo International Sc,3,1,3,3,94.0,3,0,0,VERY_LOW,3
Akuapem Community Bank PLC,1,1,1,1,81.34,1,0,0,VERY_LOW,0
Akuapem Rural Bank,2,2,1,2,86.67,1,0,0,VERY_LOW,1
Akuapem Rural bank PLC,1,1,1,1,81.34,1,0,0,VERY_LOW,0
Amaniampong SHS,1,1,1,1,30.53,0,1,0,VERY_LOW,1
Amannsie Rural Bank,1,1,1,2,89.33,1,0,0,VERY_LOW,1
Amansie Bank PLC,1,1,1,2,96.0,1,0,0,VERY_LOW,2
Amansie Rural Bank PLC,2,2,1,4,94.0,1,0,0,LOW,1
Amansie Rural bank,1,1,1,1,97.34,1,0,0,VERY_LOW,1
Amansie west rural bank,1,1,1,2,89.33,1,0,0,VERY_LOW,1
Amazing Love shs,1,1,1,1,44.0,0,1,0,VERY_LOW,1
Ambrose Alli University,1,1,1,2,41.6,0,1,0,VERY_LOW,2
Amenfiman Rural Bank,4,4,1,6,91.28,1,0,0,LOW,4
Amenfiman Rural Bank PLC,2,2,1,3,92.0,1,0,0,VERY_LOW,3
Amenfiman Rural bank plc,1,1,1,2,92.0,1,0,0,VERY_LOW,1
Amenfiman rural Bank,1,1,1,2,100.0,1,0,0,VERY_LOW,2
Amponsah Memorial Academy,1,1,1,1,70.66,1,0,0,VERY_LOW,1
Anum Presby SHS,2,1,2,2,64.0,1,1,0,VERY_LOW,2
Anum Rural Bank PLC,2,2,1,4,98.0,1,0,0,LOW,3
Anum Rural Bank PLc,1,1,1,1,100.0,1,0,0,VERY_LOW,1
Anum presby s.h.s,1,1,1,1,48.0,0,1,0,VERY_LOW,1
Apam Senior high,1,1,1,1,62.0,0,0,0,VERY_LOW,1
Apex,1,1,1,1,89.34,1,0,0,VERY_LOW,0
Arakan,1,1,1,1,39.2,0,1,0,VERY_LOW,1
Ark Academy,9,4,7,15,83.54285714285713,6,0,0,VERY_LOW,15
Armed Forces Senior Technical,2,1,2,4,50.735,0,1,0,VERY_LOW,4
Art,1,1,1,1,44.62,0,1,0,VERY_LOW,1
Asante Akyem Rural Bank,1,1,1,2,96.0,1,0,0,VERY_LOW,2
Asante Akyem Rural Bank Ayeduase,1,1,1,1,94.66,1,0,0,VERY_LOW,0
Asante Akyem Rural Bank Plc,1,1,1,2,97.34,1,0,0,VERY_LOW,1
Ascent Remedial College,1,1,1,1,23.2,0,1,0,VERY_LOW,1
Ashaiman senior high school,1,1,1,1,69.6,0,0,0,VERY_LOW,1
Ashtech,1,1,1,1,31.2,0,1,0,VERY_LOW,1
Assin North snr high,1,1,1,1,21.6,0,1,0,VERY_LOW,1
Assin north,1,1,1,1,82.0,1,0,0,VERY_LOW,1
Asutifi Rural Bank,1,1,1,1,86.66,1,0,0,VERY_LOW,1
Atwima Kwanwoma Rural Bank PLC.,1,1,1,1,94.66,1,0,0,VERY_LOW,1
Atwima Kwanwoma Rural Bank Plc,1,1,1,1,92.0,1,0,0,VERY_LOW,1
Augustines,1,1,1,1,64.0,0,0,0,VERY_LOW,1
Avatime Senior High Schoo,1,1,1,2,55.4,0,0,0,VERY_LOW,2
Ave Maria School,1,1,1,1,68.0,0,0,0,VERY_LOW,1
Aviation,1,1,1,1,60.0,0,0,0,VERY_LOW,0
Awe senior high school,1,1,1,1,53.6,0,1,0,VERY_LOW,1
Awusco,4,2,3,7,45.199999999999996,0,2,0,VERY_LOW,7
Awut Emasa Rural Bank,1,1,1,1,84.0,1,0,0,VERY_LOW,0
