institute_norm,institute_standardized,institute_std_method,institute_std_source
lyman high school,Lyman High School,normalized_only,normalized_only
tuskegee international school,Tuskegee International School,normalized_only,normalized_only
nsutaman rural bank ltd,nsutaman rural bank,manual_map,fuzzy_confirmed
builsa community bank ltd,builsa community bank,manual_map,fuzzy_confirmed
nhps,Nhps,normalized_only,normalized_only
starlife,starlife assurance,manual_map,fuzzy_confirmed
showers of blessing,Showers Of Blessing,normalized_only,normalized_only
universitatea maritima constanta,Universitatea Maritima Constanta,normalized_only,normalized_only
elite community preparatory,Elite Community Preparatory,normalized_only,normalized_only
nyankumasi ahenkro rural bank ltd,nyankumasi ahenkro rural bank,manual_map,fuzzy_confirmed
universite de liege,Universite De Liege,normalized_only,normalized_only
sonzele rural bank ltd,sonzele rural bank,manual_map,fuzzy_confirmed
gods gift,Gods Gift,normalized_only,normalized_only
students,Students,normalized_only,normalized_only
wonders international school,Wonders International School,normalized_only,normalized_only
awutu emasa rural bank ltd,awutu emasa rural bank,manual_map,fuzzy_confirmed
post graduate govt college,Post Graduate Govt College,normalized_only,normalized_only
ucc,Ucc,normalized_only,normalized_only
ghanata senior high school,Ghanata Senior High School,normalized_only,normalized_only
adom foundation for child care,Adom Foundation For Child Care,normalized_only,normalized_only
prettyup,Prettyup,normalized_only,normalized_only
suma rural bank ltd,suma rural bank,manual_map,fuzzy_confirmed
solid foundation academy,Solid Foundation Academy,normalized_only,normalized_only
kpassa rural bank ltd,kpassa rural bank,manual_map,fuzzy_confirmed
god s divine academy,God S Divine Academy,normalized_only,normalized_only
supreme advance montessori school,Supreme Advance Montessori School,normalized_only,normalized_only
amantin kasei comm bank ltd,Amantin Kasei Comm Bank Ltd,normalized_only,normalized_only
kwahu rural bank limited,kwahu rural bank,manual_map,fuzzy_confirmed
offinso rural bank ltd,Offinso Rural Bank Ltd,normalized_only,normalized_only
odupongkpehe rural bank plc,odupongkpehe rural bank,manual_map,fuzzy_confirmed
pohch 46 chandigarh,Pohch 46 Chandigarh,normalized_only,normalized_only
paul quaque acquandoh memorial academy,Paul Quaque Acquandoh Memorial Academy,normalized_only,normalized_only
na top class academy,Na Top Class Academy,normalized_only,normalized_only
akim bosome rural bank limited,Akim Bosome Rural Bank Limited,normalized_only,normalized_only
ejuraman rural bank limited,ejuraman rural bank,manual_map,fuzzy_confirmed
gtuc,Gtuc,normalized_only,normalized_only
nagie s angel educational center,Nagie S Angel Educational Center,normalized_only,normalized_only
suhum rural bank ltd,suhum rural bank,manual_map,fuzzy_confirmed
peculiar minds school complex,Peculiar Minds School Complex,normalized_only,normalized_only
asbury university,Asbury University,normalized_only,normalized_only
channel of hope academy,Channel Of Hope Academy,normalized_only,normalized_only
nagie s qangels edu centre,Nagie S Qangels Edu Centre,normalized_only,normalized_only
anum rural bank ltd,anum rural bank,manual_map,fuzzy_confirmed
nyankumasi ahenkro rural bank,nyankumasi ahenkro rural bank,manual_map,fuzzy_confirmed
suhum rural bank limited,suhum rural bank,manual_map,fuzzy_confirmed
christianity,Christianity,normalized_only,normalized_only
ejisuman,Ejisuman,normalized_only,normalized_only
destiny academy,Destiny Academy,normalized_only,normalized_only
covenant preparatory sch,Covenant Preparatory Sch,normalized_only,normalized_only
bordeaux montaigne,Bordeaux Montaigne,normalized_only,normalized_only
senior high school,senior high school,manual_map,fuzzy_confirmed
ahantaman rural bank, ahantaman rural bank,manual_map,fuzzy_confirmed
happy home o level school,Happy Home O Level School,normalized_only,normalized_only
tema royal school,Tema Royal School,normalized_only,normalized_only
golden height,Golden Height,normalized_only,normalized_only
mobile banker,Mobile Banker,normalized_only,normalized_only
opoku ware shs,Opoku Ware Shs,normalized_only,normalized_only
kamolo dispensary,Kamolo Dispensary,normalized_only,normalized_only
afram rural bank ltd,Afram Rural Bank Ltd,normalized_only,normalized_only
blessed kings palace schools,Blessed Kings Palace Schools,normalized_only,normalized_only
student,Student,normalized_only,normalized_only
oviedo highschool,Oviedo Highschool,normalized_only,normalized_only
jhs,junior high school,manual_map,fuzzy_confirmed
twifu rural bank ltd,Twifu Rural Bank Ltd,normalized_only,normalized_only
universite,Universite,normalized_only,normalized_only
phoenix university,Phoenix University,normalized_only,normalized_only
power and might int school,Power And Might Int School,normalized_only,normalized_only
academy private,Academy Private,normalized_only,normalized_only
liberty academy,Liberty Academy,normalized_only,normalized_only
opku ware,Opku Ware,normalized_only,normalized_only
nnamdi azikiwe university awka,Nnamdi Azikiwe University Awka,normalized_only,normalized_only
precise driving school,Precise Driving School,normalized_only,normalized_only
post graduate college sector46,Post Graduate College Sector46,normalized_only,normalized_only
lakeshore technical college,Lakeshore Technical College,normalized_only,normalized_only
lower pra rural bank limited,lower pra rural,manual_map,fuzzy_confirmed
cps,Cps,normalized_only,normalized_only
